date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:15	45130/45130	U-----	200	untouched ('OK')	text/html	etag:W/%22b04a-BRALcDiI/VNf+gt61qAtPlLwQ/Y%22	https://www.gathering.org/tg21/	www.gathering.org/tg21/index.html	(from )
16:33:15	15470/15470	U-----	200	untouched ('OK')	text/html	etag:W/%223c6e-FUsru1IJkwhRgnG/yJ8LvAMAZHE%22	https://www.gathering.org/robots.txt		(from )
16:33:15	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:W/%2247e-17889894510%22	https://www.gathering.org/tg21/static/favicon.ico?v=2	www.gathering.org/tg21/static/favicon5e1f.ico	(from https://www.gathering.org/tg21/)
16:33:16	3558/3558	---M--	200	added ('OK')	image/png	etag:W/%22de6-17889894510%22	https://www.gathering.org/tg21/static/apple-icon-57x57.png	www.gathering.org/tg21/static/apple-icon-57x57.png	(from https://www.gathering.org/tg21/)
16:33:17	3718/3718	---M--	200	added ('OK')	image/png	etag:W/%22e86-17889894510%22	https://www.gathering.org/tg21/static/apple-icon-60x60.png	www.gathering.org/tg21/static/apple-icon-60x60.png	(from https://www.gathering.org/tg21/)
16:33:18	4532/4532	---M--	200	added ('OK')	image/png	etag:W/%2211b4-17889894510%22	https://www.gathering.org/tg21/static/apple-icon-72x72.png	www.gathering.org/tg21/static/apple-icon-72x72.png	(from https://www.gathering.org/tg21/)
16:33:19	4865/4865	---M--	200	added ('OK')	image/png	etag:W/%221301-17889894510%22	https://www.gathering.org/tg21/static/apple-icon-76x76.png	www.gathering.org/tg21/static/apple-icon-76x76.png	(from https://www.gathering.org/tg21/)
16:33:20	7628/7628	---M--	200	added ('OK')	image/png	etag:W/%221dcc-17889894510%22	https://www.gathering.org/tg21/static/apple-icon-114x114.png	www.gathering.org/tg21/static/apple-icon-114x114.png	(from https://www.gathering.org/tg21/)
16:33:21	8056/8056	---M--	200	added ('OK')	image/png	etag:W/%221f78-17889894510%22	https://www.gathering.org/tg21/static/apple-icon-120x120.png	www.gathering.org/tg21/static/apple-icon-120x120.png	(from https://www.gathering.org/tg21/)
16:33:22	10601/10601	---M--	200	added ('OK')	image/png	etag:W/%222969-17889894510%22	https://www.gathering.org/tg21/static/apple-icon-144x144.png	www.gathering.org/tg21/static/apple-icon-144x144.png	(from https://www.gathering.org/tg21/)
16:33:23	11462/11462	---M--	200	added ('OK')	image/png	etag:W/%222cc6-17889894510%22	https://www.gathering.org/tg21/static/apple-icon-152x152.png	www.gathering.org/tg21/static/apple-icon-152x152.png	(from https://www.gathering.org/tg21/)
16:33:24	15060/15060	---M--	200	added ('OK')	image/png	etag:W/%223ad4-17889894510%22	https://www.gathering.org/tg21/static/apple-icon-180x180.png	www.gathering.org/tg21/static/apple-icon-180x180.png	(from https://www.gathering.org/tg21/)
16:33:25	14633/14633	---M--	200	added ('OK')	image/png	etag:W/%223929-17889894510%22	https://www.gathering.org/tg21/static/android-icon-192x192.png	www.gathering.org/tg21/static/android-icon-192x192.png	(from https://www.gathering.org/tg21/)
16:33:26	1983/1983	---M--	200	added ('OK')	image/png	etag:W/%227bf-17889894510%22	https://www.gathering.org/tg21/static/favicon-32x32.png	www.gathering.org/tg21/static/favicon-32x32.png	(from https://www.gathering.org/tg21/)
16:33:27	6248/6248	---M--	200	added ('OK')	image/png	etag:W/%221868-17889894510%22	https://www.gathering.org/tg21/static/favicon-96x96.png	www.gathering.org/tg21/static/favicon-96x96.png	(from https://www.gathering.org/tg21/)
16:33:28	1224/1224	---M--	200	added ('OK')	image/png	etag:W/%224c8-17889894510%22	https://www.gathering.org/tg21/static/favicon-16x16.png	www.gathering.org/tg21/static/favicon-16x16.png	(from https://www.gathering.org/tg21/)
16:33:29	36474/36474	---M--	200	added ('OK')	text/css	etag:W/%228e7a-17889894510%22	https://www.gathering.org/tg21/web-client-309fa02bace796326589.css	www.gathering.org/tg21/web-client-309fa02bace796326589.css	(from https://www.gathering.org/tg21/)
16:33:30	237872/237872	---M--	200	added ('OK')	image/png	etag:%223a130-5bdd5030a520f%22	https://www.gathering.org/api/wp-content/uploads/2018/01/tg21_online_header.png	www.gathering.org/api/wp-content/uploads/2018/01/tg21_online_header.png	(from https://www.gathering.org/tg21/)
16:33:31	33626/33626	---M--	200	added ('OK')	image/png	etag:%22835a-5cea2fb02dfdf%22	https://www.gathering.org/api/wp-content/uploads/2021/10/TG21OnlineLogo.png	www.gathering.org/api/wp-content/uploads/2021/10/TG21OnlineLogo.png	(from https://www.gathering.org/tg21/)
16:33:32	30039/30039	U--M--	200	updated ('OK')	text/html	etag:W/%227557-H+vShmAhvgkrp99QkDdw/pgmdCM%22	https://www.gathering.org/tg21/page/partner	www.gathering.org/tg21/page/partner.html	(from https://www.gathering.org/tg21/)
16:33:32	26773/26773	U-----	200	untouched ('OK')	text/html	etag:W/%226895-eLwj2Cg00KTAxvfrhk9gNwGWPPc%22	https://www.gathering.org/tg21/article/7043/spillkonkurranser-pa-tgonline-21	www.gathering.org/tg21/article/7043/spillkonkurranser-pa-tgonline-21.html	(from https://www.gathering.org/tg21/)
16:33:32	23333/23333	U-----	200	untouched ('OK')	text/html	etag:W/%225b25-VBy8JKCCHzLlHLbfCMPWJxPnJfY%22	https://www.gathering.org/tg21/page/kontakt	www.gathering.org/tg21/page/kontakt.html	(from https://www.gathering.org/tg21/)
16:33:32	25818/25818	U-----	200	untouched ('OK')	text/html	etag:W/%2264da-ikLO4JLQEYw12equmET8cH6kAe8%22	https://www.gathering.org/tg21/page/vil-du-vaere-med-a-arrangere-the-gathering	www.gathering.org/tg21/page/vil-du-vaere-med-a-arrangere-the-gathering.html	(from https://www.gathering.org/tg21/)
16:33:33	77130/77130	---M--	200	added ('OK')	image/png	etag:%2212d4a-5bec0c5f55dcf%22	https://www.gathering.org/api/wp-content/uploads/2021/03/image-300x169.png	www.gathering.org/api/wp-content/uploads/2021/03/image-300x169.png	(from https://www.gathering.org/tg21/)
16:33:34	10495/10495	---M--	200	added ('OK')	image/jpeg	etag:%2228ff-56595b56e7200%22	https://www.gathering.org/api/wp-content/uploads/2018/02/creative_foxboron_article_header-300x200.jpg	www.gathering.org/api/wp-content/uploads/2018/02/creative_foxboron_article_header-300x200.jpg	(from https://www.gathering.org/tg21/)
16:33:35	18517/18517	---M--	200	added ('OK')	image/jpeg	etag:%224855-5bcbb78b5eceb%22	https://www.gathering.org/api/wp-content/uploads/2021/03/MG_2747edit-300x200.jpg	www.gathering.org/api/wp-content/uploads/2021/03/MG_2747edit-300x200.jpg	(from https://www.gathering.org/tg21/)
16:33:36	2109/2109	---M--	200	added ('OK')	image/svg+xml	etag:%2283d-583e9b253ac80%22	https://www.gathering.org/api/wp-content/uploads/2019/03/kandu_v2_liggende_black.svg	www.gathering.org/api/wp-content/uploads/2019/03/kandu_v2_liggende_black.svg	(from https://www.gathering.org/tg21/)
16:33:36	15421/15421	U-----	200	untouched ('OK')	text/html	etag:W/%223c3d-d2dKsKc4cLVTJOhh5Jv8CLslG/A%22	https://www.gathering.org/tg21/search	www.gathering.org/tg21/search.html	(from https://www.gathering.org/tg21/)
16:33:36	43385/43385	U-----	200	untouched ('OK')	text/html	etag:W/%22a979-YdMZco4YttsVW5XR4jQQQyqR7YA%22	https://www.gathering.org/tg21/article/7479/vinnerne-av-kreative-konkurranser	www.gathering.org/tg21/article/7479/vinnerne-av-kreative-konkurranser.html	(from https://www.gathering.org/tg21/)
16:33:36	24830/24830	U--M--	200	updated ('OK')	text/html	etag:W/%2260fe-1U5CZO+FvG0nAkqaUBbEBJQp+kU%22	https://www.gathering.org/tg21/article/7366/tg21online-escape	www.gathering.org/tg21/article/7366/tg21online-escape.html	(from https://www.gathering.org/tg21/)
16:33:37	3871/3871	---M--	200	added ('OK')	image/svg+xml	etag:%22f1f-584dc46db4500%22	https://www.gathering.org/api/wp-content/uploads/2018/01/elkjop_black-1.svg	www.gathering.org/api/wp-content/uploads/2018/01/elkjop_black-1.svg	(from https://www.gathering.org/tg21/)
16:33:38	3154/3154	---M--	200	added ('OK')	image/svg+xml	etag:%22c52-562c515f4d700%22	https://www.gathering.org/api/wp-content/uploads/2018/01/nextron_black.svg	www.gathering.org/api/wp-content/uploads/2018/01/nextron_black.svg	(from https://www.gathering.org/tg21/)
